"param_set_id_new","th_ROS_microbe","th_ROS_epith_recover","epith_recovery_chance","rat_com_pat_threshold","diffusion_speed_DAMPs","diffusion_speed_SAMPs","diffusion_speed_ROS","add_ROS","add_DAMPs","add_SAMPs","ros_decay","DAMPs_decay","SAMPs_decay","activation_threshold_DAMPs","activation_threshold_SAMPs","activity_engulf_M0_baseline","activity_engulf_M1_baseline","activity_engulf_M2_baseline","activity_ROS_M1_baseline","rate_leak_commensal_injury","rate_leak_pathogen_injury","rate_leak_commensal_baseline","active_age_limit","treg_discrimination_efficiency","mac_discrimination_efficiency","mac_rat_com_pat_threshold"
"5_1",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.5
"5_2",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.5625
"5_3",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.625
"5_4",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.6875
"5_5",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.75
"5_6",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.8125
"5_7",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.875
"5_8",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,0.9375
"5_9",0.43483974308308,0.425760173331515,0.996269186139295,0.83798278727641,0.0274189526123682,0.0297751347501551,0.101874310455221,0.460142808136169,0.478368002834364,0.511209311747206,0.00704415679882513,0.0379164476995217,0.165092726046038,0.0895043056867062,0.211238714647791,0.0486656534533377,0.37534641560767,0.305519323793586,0.318752166304522,0.709763237837219,0.504497054761851,0.0519183045231085,14,0.123505099362317,1,1
"100_1",0.0340478745719115,0.0763463042471372,0.87799565922695,0.925906943464832,0.0818306975780239,0.007279630411979,0.0076128912226419,0.417942863159261,0.825488169051753,0.998127301603167,0.280589035041421,0.618139499938651,0.123128963396105,0.0281619555790839,0.922658606368203,0.0285837291190145,0.476416414657171,0.0262138103125268,0.334169596583588,0.763376294225176,0.663927802555285,0.115265969739394,22,0.855480765304421,1,0.5
