"param_set_id","th_ROS_microbe","th_ROS_epith_recover","epith_recovery_chance","rat_com_pat_threshold","diffusion_speed_DAMPs","diffusion_speed_SAMPs","diffusion_speed_ROS","add_ROS","add_DAMPs","add_SAMPs","ros_decay","DAMPs_decay","SAMPs_decay","activation_threshold_DAMPs","activation_threshold_SAMPs","activity_engulf_M0_baseline","activity_engulf_M1_baseline","activity_engulf_M2_baseline","activity_ROS_M1_baseline","rate_leak_commensal_injury","rate_leak_pathogen_injury","rate_leak_commensal_baseline","active_age_limit","treg_discrimination_efficiency"
0,0.449149315168392,0.0250162059089412,0.930133927286272,0.779328310993875,0.0439084307170924,0.0630238092270407,2.35846800701693e-05,0.999640291173093,0.999854110333847,0.805790085011193,0.0301649493673731,0.44836919327091,0.429002184498072,0.359785377398123,0.474328007669744,0.379905407755264,0.428743350014857,0.408321930272564,0.223147997692734,0.998007389140419,0.820390200765812,0.0667524367816813,30,0.279145037935981
1,0.184271154956418,0.55563262187198,8.27004485181533e-05,0.879546612676122,0.0894054119576294,0.0739588566848112,0.0358379500307602,9.12367616361007e-05,0.969406169632355,0.479894916384732,0.478860575327639,0.457650060292595,0.357340091271119,0.358853168427533,0.362708113652586,0.0080800163876959,0.259932695635977,0.00010701302640605,0.298119158943435,0.659850969803017,0.708038975277972,0.208167389669657,13,0.251700320208601
2,0.827022100568055,0.315166675072629,8.27004485181533e-05,0.725312768155378,0.104637501879995,0.0370684662405006,2.35846800701693e-05,0.512341143760535,0.720157027911076,0.57252731718758,0.00436304147390504,0.1999520655895,4.64802905591205e-05,0.591895480059565,0.243026502562109,0.207316991733344,0.295971885520988,0.238341646328338,0.132867339105942,0.580021557902789,0.999975606664492,0.102680652485744,13,0.607031148807745
3,0.625008061288054,0.2369020961371,0.910944759042633,0.620847578129151,2.69250937448815e-06,0.0876073273981983,0.0468424993774299,0.822368667466928,0.769295327070726,0.237211451150093,9.64684443548322e-05,0.0737547796807838,0.161953416340604,7.76303646992892e-05,0.00019440235718619,0.396984241737948,0.0525483948784586,0.312860262144679,0.422372830243209,0.559132299560276,0.929597548163585,0.17709586023006,30,0.963553221954364
4,0.206924396536537,0.250933250427087,0.427436633009523,0.751905677523752,0.0274135689270854,0.103910631737353,0.0304416488032836,0.56368370779365,0.773192104839073,0.999928297183826,0.757763996252389,0.49015353095286,0.0358171879569828,0.137476884968473,0.518993843856943,0.499989724523516,0.0641710246853014,0.348018338590942,0.407016136611363,0.845679046988427,0.89702665243064,0.108046334218735,15,0.999772849337969
5,0.541871323391782,0.194526682448516,0.604170224430502,0.845789185687442,0.0877824006926842,0.0490792083048692,0.119995094177388,0.219161096015887,0.514549743144986,0.554420648655122,0.222360198242218,6.33614411693998e-05,0.376797880778329,0.450789548007027,0.344254799912216,0.0426130727320996,0.321411780199714,0.231672960259059,0.121276993334529,0.653894451985436,0.681704511613782,0.249984006138382,7,0.477413573764275
6,0.580469626249672,0.518016393152919,0.723119703148643,0.719502804716437,2.69250937448815e-06,0.0423230896030046,0.0428013041986487,0.911264247034175,0.580035739226529,0.860225758129568,0.416108402138157,0.223471298359238,0.370549622322455,0.242693317116293,0.00019440235718619,0.379908999512803,0.32721254288634,0.212626498281688,0.43028784330016,0.577875222640467,0.770207780778223,0.189152803908267,15,0.168092214112249
7,0.508616585004197,0.236925897473846,8.27004485181533e-05,0.731288496962993,0.0724260345750299,0.10245889433482,0.0873216799478765,0.973630107234248,0.409935878192638,0.330981875416712,0.599001004365426,0.117404057139955,0.411345743764114,0.823456349023744,0.74349847720529,0.438022726938041,0.00171982031862378,0.253138646294687,0.499559855764972,0.621450627155156,0.894639953849152,0.146490786262411,19,0.833766399114635
8,0.628975416774218,0.360112519549714,0.964863714538903,0.693546914641554,0.013020995434493,0.0568452198540818,2.35846800701693e-05,0.999640291173093,0.613412560644473,0.536615736160747,0.153460921066287,0.42504831393674,0.345371079936982,0.130088316368458,0.101623083719617,0.272986016832194,0.261151611764065,0.325277561712367,0.414381734001203,0.857637544497901,0.696547570747703,0.0812649580845045,21,0.555251312624255
9,0.760345453833419,0.688503243112642,0.0570636551120225,0.593993870193533,0.0305903086620259,0.0718765650437023,0.0159235745921342,9.12367616361007e-05,1.96226454502903e-05,0.668354175022294,0.435226911401925,0.101431924560752,4.64802905591205e-05,0.295390789686325,0.603217867483843,0.164926768799121,0.215536824342841,0.331389136796293,0.121819975788165,0.792671456739443,0.817383378067875,0.249984006138382,3,0.531819009946015
10,0.884693062116637,0.840250220209162,0.484347215435987,0.710277747088525,0.109954316978953,0.0293194668229989,0.119995094177388,0.966946074295046,0.722942725272703,0.404223749729819,0.127429413501124,0.320865564211815,0.562763999274643,0.076866308459225,0.0212901608068234,0.254879186054179,0.10671744370582,0.499992012141552,0.422833719503444,0.664508780362052,0.565542885452646,6.79376821854385e-05,10,0.791656787727387
11,0.421483052170245,0.735754016332747,0.421770018833882,0.653598599642063,0.0460789675741879,0.017118527723499,0.115433644742974,0.751571475367037,0.214519699160446,0.00025019704848527,0.673826424303274,6.33614411693998e-05,0.192272893572869,0.556916089963005,0.162319666253423,0.380656005504467,0.0581942953403136,0.499992012141552,0.182692256842311,0.694578374389136,0.77773649401342,0.134481280990399,10,0.361666829246099
12,0.810977754033422,0.346528628841131,0.392431476665505,0.65605561062101,0.0796039157604234,0.116507817856037,0.0406383037284636,0.546425915926062,0.903235839694104,0.498166291595694,0.257514895307267,0.415775386619441,4.64802905591205e-05,7.76303646992892e-05,0.389571127002067,0.34250018098203,0.418360811199052,0.211499745978396,0.167134876193971,0.655125794042292,0.960306116448847,0.146794106234462,12,0.999772849337969
13,0.715137894641406,0.301272528301925,0.0527516462860997,0.612206198592124,0.0549083663660735,0.0345848416328372,2.35846800701693e-05,0.540944139555154,0.797400848356663,0.52872223034847,0.102703114677116,0.335777275484678,4.64802905591205e-05,0.669721007037001,0.464059669948505,0.00030305628819158,0.273615579727555,0.163930546130403,0.165937197164677,0.86449800189951,0.999975606664492,0.159730466258099,21,0.999772849337969
