"param_set_id","th_ROS_microbe","th_ROS_epith_recover","epith_recovery_chance","rat_com_pat_threshold","diffusion_speed_DAMPs","diffusion_speed_SAMPs","diffusion_speed_ROS","add_ROS","add_DAMPs","add_SAMPs","ros_decay","DAMPs_decay","SAMPs_decay","activation_threshold_DAMPs","activation_threshold_SAMPs","activity_engulf_M0_baseline","activity_engulf_M1_baseline","activity_engulf_M2_baseline","activity_ROS_M1_baseline","rate_leak_commensal_injury","rate_leak_pathogen_injury","rate_leak_commensal_baseline","active_age_limit","treg_discrimination_efficiency","mac_discrimination_efficiency","mac_rat_com_pat_threshold"
0,0.393388528810907,0.929581865192787,0.315509078698279,0.981577562449314,0.0418078180170609,0.0956037558699902,0.013724164823656,0.339427492573275,0.041813904001168,0.843768073741905,0.316562793893949,0.0335547856384655,0.555398431553785,0.0360641938548768,0.806181858413853,0.172485904798959,0.326701641330321,0.407237957418652,0.179139764048869,0.50237333060716,0.965104014923808,0.134309707909351,10,0.443889783563092,0.132848274857155,0.729671776220691
1,0.903537706432282,0.582841493933694,0.125536387596838,0.911634244238329,0.119644575151775,0.044345017743431,0.0470496267584777,0.534187234307616,0.939708796440368,0.234365421996731,0.328920053712162,0.430175796494703,0.00849920209960546,0.960252135657193,0.257698114203988,0.268081773028756,0.189101524251583,0.302902642153599,0.464417841844948,0.973629807972431,0.702006061604118,0.023456789682986,18,0.271738728197292,0.332358357172064,0.949628828524647
2,0.0477259904684033,0.354978315748554,0.862277355665155,0.601476837075141,0.0237262903809557,0.0846294122046316,0.0749934921707204,0.697867861375865,0.793464807898575,0.856658337221644,0.524823078179522,0.130547355387942,0.500537390827457,0.340228208689089,0.537504837542842,0.317244718080258,0.386896470634674,0.0672725964160985,0.16386550726936,0.800722903767601,0.891008986229636,0.156086387232254,22,0.0795924757998437,0.172178175065853,0.597115982309973
3,0.00735904802430887,0.642744890176202,0.92892974623288,0.509359920523677,0.0970485103443051,0.059249865728301,0.099664133324244,0.0225048892365769,0.810546521711233,0.539324463903229,0.506397029291908,0.47552364318266,0.940578231567773,0.896719335304201,0.295966379674082,0.0705003946565441,0.198443164678523,0.26433464129254,0.412573910244706,0.818098807429289,0.663372913694801,0.175559199096856,22,0.935264807976596,0.878416005332163,0.607028497934074
4,0.744582189886109,0.706677302020462,0.304379566369299,0.740615068498277,0.102026510831692,0.023277318056901,0.0692350186984492,0.201758848551707,0.652469738729508,0.923872020878736,0.688448117891187,0.626609517620062,0.798474118163483,0.547793771341932,0.159275092002051,0.177206713811145,0.127162452878628,0.031411192939966,0.22836646597056,0.800091118335025,0.940305330225558,0.104205403913592,22,0.471563046636968,0.93469748407756,0.680894143722276
5,0.413554071632051,0.392632130040112,0.573534510376607,0.826602917348209,0.00909225903575309,0.0436555405338854,0.0542658809624892,0.0583180679943878,0.930108980597043,0.117256272832816,0.123256353429356,0.249194496108009,0.167179319418943,0.836265570192621,0.0488930950687034,0.135643566448649,0.0330200175672886,0.41704339945945,0.156205022453296,0.933223154960282,0.582339570560516,0.0147536842016794,28,0.841366835187678,0.255556427835161,0.690588466580224
6,0.997051015532436,0.989066300927522,0.0788287613065448,0.603734273547085,0.0480045348813096,0.0771996922745174,0.0412125176595021,0.410964580529672,0.939821653622156,0.0196837259388529,0.959039975714125,0.757549281318043,0.00511267891344614,0.926181490012375,0.158201949100732,0.453106492059759,0.101499579518556,0.238040120290837,0.145672189550556,0.996525501659687,0.570972932285664,0.136744854257186,11,0.169877435648348,0.489777493901225,0.579578440011304
7,0.693990471705399,0.645753212756198,0.637895183017594,0.711709727049409,0.101813119293789,0.0387239319447018,0.0330654535975596,0.943587155256607,0.310513994519063,0.678229128353042,0.75204084332746,0.786904278731858,0.07744819224081,0.949296255210764,0.859401969816606,0.35666587651216,0.149655242645822,0.0195637113608071,0.1033290996055,0.932139750823192,0.934190180080768,0.246250734409975,21,0.922871517264354,0.337733894327376,0.851704420506558
8,0.685614035297907,0.232490416348819,0.0801816545149544,0.601091448486235,0.110456008165556,0.0216240976662571,0.100554772754369,0.77764809796582,0.47050223086311,0.163740538780857,0.822642181016249,0.928400366908731,0.708633067605156,0.399087203679793,0.964086488924641,0.369859390006005,0.348926045494573,0.261390468798275,0.193368526291184,0.584150032864197,0.582578154901753,0.201459816772095,15,0.849040970087121,0.294836780503578,0.763482439079939
9,0.3404203097285,0.135625346986018,0.949319651984144,0.934537294917135,0.0908040999876419,0.105634297143286,0.0685184725677297,0.909995873059635,0.242014576426242,0.516636180992797,0.621684592500888,0.261919577133353,0.49661200765383,0.833920225556241,0.232690036755358,0.477419962909352,0.172858293295279,0.0704534615678946,0.298226021906466,0.855856489572465,0.56902788216566,0.132516921706981,5,0.211994774981402,0.397506259158044,0.736628055353102
